RP11-34P13.7
FO538757.2
AP006222.2
RP4-669L17.10
RP11-206L10.9
LINC00115
FAM41C
RP11-54O7.1
RP11-54O7.3
SAMD11
NOC2L
KLHL17
PLEKHN1
PERM1
RP11-54O7.17
HES4
ISG15
RP11-54O7.11
AGRN
RNF223
C1orf159
RP11-465B22.8
TTLL10-AS1
TTLL10
TNFRSF18
TNFRSF4
SDF4
B3GALT6
FAM132A
RP5-902P8.12
UBE2J2
RP5-902P8.10
SCNN1D
ACAP3
PUSL1
CPSF3L
CPTP
TAS1R3
DVL1
MXRA8
AURKAIP1
CCNL2
MRPL20
RP4-758J18.13
ANKRD65
RP4-758J18.10
VWA1
ATAD3C
ATAD3B
ATAD3A
TMEM240
SSU72
RP5-832C2.5
C1orf233
RP11-345P4.9
MIB2
MMP23B
CDK11B
SLC35E2B
RP11-345P4.7
CDK11A
SLC35E2
NADK
GNB1
RP1-140A9.1
CALML6
TMEM52
CFAP74
GABRD
PRKCZ
RP5-892K4.1
RP11-181G12.2
FAAP20
SKI
MORN1
RER1
PEX10
PLCH2
PANK4
HES5
RP3-395M20.12
RP3-395M20.8
TNFRSF14
RP3-395M20.9
FAM213B
MMEL1
TTC34
LINC00982
PRDM16
ARHGEF16
MEGF6
RP11-46F15.2
TPRG1L
WRAP73
TP73
TP73-AS1
SMIM1
LRRC47
RP1-286D6.5
CEP104
DFFB
C1orf174
LINC01134
AJAP1
NPHP4
KCNAB2
CHD5
RPL22
RP1-120G22.11
RNF207
ICMT
LINC00337
GPR153
ACOT7
RP1-202O8.3
HES2
ESPN
TNFRSF25
PLEKHG5
NOL9
TAS1R1
ZBTB48
KLHL21
PHF13
THAP3
DNAJC11
RP11-242F24.1
RP11-312B8.1
CAMTA1
VAMP3
PER3
RP3-467L1.4
UTS2
TNFRSF9
PARK7
ERRFI1
RP11-431K24.1
SLC45A1
RERE
RP5-1115A15.1
ENO1
ENO1-AS1
CA6
SLC2A5
GPR157
MIR34AHG
RP3-510D11.2
H6PD
SPSB1
SLC25A33
TMEM201
PIK3CD
PIK3CD-AS1
PIK3CD-AS2
CLSTN1
CTNNBIP1
LZIC
NMNAT1
RBP7
UBE4B
KIF1B
PGD
APITD1-CORT
APITD1
CORT
DFFA
PEX14
CASZ1
RP4-734G22.3
TARDBP
RP4-635E18.9
RP4-635E18.8
SRM
EXOSC10
RP4-635E18.7
RP4-635E18.6
MTOR
UBIAD1
FBXO2
FBXO44
FBXO6
MAD2L2
DRAXIN
AGTRAP
C1orf167
MTHFR
CLCN6
NPPA-AS1
KIAA2013
PLOD1
MFN2
MIIP
TNFRSF8
TNFRSF1B
VPS13D
DHRS3
RP11-474O21.5
C1orf158
HNRNPCL2
LRRC38
PDPN
PRDM2
RP11-344F13.1
KAZN
TMEM51-AS1
TMEM51
FHAD1
RP3-467K16.2
RP3-467K16.7
RP3-467K16.4
EFHD2
CELA2A
CASP9
DNAJC16
AGMAT
RP4-680D5.2
DDI2
RP4-680D5.9
PLEKHM2
SLC25A34
TMEM82
FBLIM1
UQCRHL
FLJ37453
SPEN
ZBTB17
C1orf64
HSPB7
CLCNKA
EPHA2
RP11-276H7.2
RP11-276H7.3
ARHGEF19
RSG1
FBXO42
SZRD1
SPATA21
NECAP2
RP4-798A10.2
RP4-798A10.7
NBPF1
CROCC
RP11-108M9.4
RP11-108M9.6
MFAP2
ATP13A2
SDHB
PADI2
PADI3
PADI4
RCC2
ARHGEF10L
IGSF21
KLHDC7A
ALDH4A1
IFFO2
UBR4
RP1-43E13.2
EMC1
MRTO4
AKR7A3
AKR7A2
PQLC2
CAPZB
MINOS1
NBL1
TMCO4
RNF186
RP11-91K11.2
OTUD3
PLA2G2A
PLA2G5
PLA2G2D
PLA2G2C
UBXN10-AS1
UBXN10
RP4-745E8.2
CAMK2N1
MUL1
FAM43B
CDA
PINK1
PINK1-AS
DDOST
KIF17
SH2D5
HP1BP3
EIF4G3
ECE1
RP3-329E20.2
RP5-1071N3.1
NBPF3
ALPL
RP11-63N8.3
RAP1GAP
USP48
LDLRAD2
HSPG2
RP1-224A6.3
LINC00339
CDC42
WNT4
ZBTB40
C1QA
C1QC
C1QB
EPHB2
C1orf234
KDM1A
LUZP1
LINC01355
HNRNPR
ZNF436
ZNF436-AS1
RP5-1057J7.7
TCEA3
ASAP3
E2F2
RP1-150O5.3
ID3
MDS2
RPL11
TCEB3
TCEB3-AS1
PITHD1
LYPLA2
GALE
HMGCL
FUCA1
CNR2
PNRC2
SRSF10
MYOM3
IL22RA1
IFNLR1
STPG1
NIPAL3
RCAN3
RP4-594I10.3
NCMAP
SRRM1
CLIC4
RUNX3
RP4-706G24.1
SYF2
RSRP1
RP3-465N24.6
TMEM50A
RHCE
